n_red,overtime_rate_red,critical_ot_rate,emergency_ot_rate,red_util,resp_p95_critical
5,0.8428,0.007,0.9941,0.9929,1.6035
6,0.8395,0.0025,0.991,0.992,1.4654
7,0.8372,0.0007,0.9886,0.9905,1.4161
8,0.8117,0.0003,0.9578,0.9857,1.3392
9,0.5578,0.0,0.6558,0.9159,1.2456
10,0.3062,0.0,0.36,0.8277,1.2116
11,0.1796,0.0,0.2117,0.7534,1.1679
12,0.0913,0.0,0.1076,0.6914,1.1185
13,0.0359,0.0,0.0424,0.6387,1.085
14,0.0126,0.0,0.0149,0.5933,1.0533
15,0.0043,0.0,0.0051,0.5539,1.0282
16,0.0002,0.0,0.0002,0.5194,1.0255
17,0.0,0.0,0.0,0.4889,1.0255
18,0.0,0.0,0.0,0.4618,1.0255
