scenario,drug_class,orders,overtime,overtime_rate,sla_h,resp_mean_h,resp_p95_h,resp_max_h,red_util
baseline_5_7,critical,566.8,0.6,0.0011,2.0,0.68,1.142,2.094,0.414
baseline_5_7,emergency,357.6,1.4,0.0039,4.0,0.774,1.605,4.4,0.414
baseline_5_7,seasonal,1114.8,0.0,0.0,12.0,0.919,1.545,2.343,0.414
baseline_5_7,routine,1657.8,0.0,0.0,24.0,4.639,9.85,12.402,0.414
surge_5_7,critical,566.8,4.0,0.007,2.0,0.978,1.604,2.297,0.993
surge_5_7,emergency,3131.4,3113.0,0.9941,4.0,289.786,468.047,483.939,0.993
surge_5_7,seasonal,1112.6,0.0,0.0,12.0,0.9,1.514,2.447,0.993
surge_5_7,routine,1669.6,0.0,0.0,24.0,4.818,10.504,14.308,0.993
surge_16_7,critical,566.8,0.0,0.0,2.0,0.646,1.026,1.283,0.519
surge_16_7,emergency,3131.4,0.6,0.0002,4.0,0.882,2.108,3.75,0.519
surge_16_7,seasonal,1112.6,0.0,0.0,12.0,0.9,1.514,2.447,0.519
surge_16_7,routine,1669.6,0.0,0.0,24.0,4.818,10.504,14.308,0.519
